step,uid,dataset,n_icl,correct,cumulative_regret,mem_size
0,ds1000#978,ds1000,0,0,1.0000,0
1,hotpotqa#0,hotpotqa,0,0,2.0000,0
2,ddxplus#0,ddxplus,0,1,2.0000,1
3,ddxplus#1,ddxplus,0,0,3.0000,1
4,ddxplus#2,ddxplus,0,1,3.0000,2
5,hotpotqa#1,hotpotqa,0,1,3.0000,3
6,ds1000#933,ds1000,0,1,3.0000,4
7,ddxplus#3,ddxplus,0,0,4.0000,4
8,ddxplus#4,ddxplus,0,0,5.0000,4
9,ddxplus#5,ddxplus,0,0,6.0000,4
10,ds1000#859,ds1000,3,0,7.0000,4
11,ds1000#916,ds1000,3,1,7.0000,5
12,ds1000#127,ds1000,3,0,8.0000,5
13,ddxplus#6,ddxplus,3,1,8.0000,6
14,ddxplus#7,ddxplus,3,0,9.0000,6
15,ddxplus#8,ddxplus,3,0,10.0000,6
16,ddxplus#9,ddxplus,3,1,10.0000,7
17,hotpotqa#2,hotpotqa,3,1,10.0000,8
18,ddxplus#10,ddxplus,3,0,11.0000,8
19,ds1000#608,ds1000,3,1,11.0000,9
20,hotpotqa#3,hotpotqa,3,0,12.0000,9
21,ddxplus#11,ddxplus,3,0,13.0000,9
22,ddxplus#12,ddxplus,3,1,13.0000,10
23,ddxplus#13,ddxplus,3,0,14.0000,10
24,hotpotqa#4,hotpotqa,3,0,15.0000,10
25,hotpotqa#5,hotpotqa,3,0,16.0000,10
26,ddxplus#14,ddxplus,3,0,17.0000,10
27,hotpotqa#6,hotpotqa,3,0,18.0000,10
28,ddxplus#15,ddxplus,3,0,19.0000,10
29,hotpotqa#7,hotpotqa,3,1,19.0000,11
30,hotpotqa#8,hotpotqa,3,1,19.0000,12
31,ds1000#856,ds1000,3,0,20.0000,12
32,ds1000#260,ds1000,3,0,21.0000,12
33,hotpotqa#9,hotpotqa,3,1,21.0000,13
34,ddxplus#16,ddxplus,3,0,22.0000,13
35,ds1000#147,ds1000,3,1,22.0000,14
36,ddxplus#17,ddxplus,3,1,22.0000,15
37,ddxplus#18,ddxplus,3,1,22.0000,16
38,ddxplus#19,ddxplus,3,0,23.0000,16
39,hotpotqa#10,hotpotqa,3,0,24.0000,16
40,hotpotqa#11,hotpotqa,3,1,24.0000,17
41,ddxplus#20,ddxplus,3,0,25.0000,17
42,ds1000#810,ds1000,3,0,26.0000,17
43,ddxplus#21,ddxplus,3,1,26.0000,18
44,hotpotqa#12,hotpotqa,3,0,27.0000,18
45,ds1000#635,ds1000,3,0,28.0000,18
46,hotpotqa#13,hotpotqa,3,0,29.0000,18
47,ddxplus#22,ddxplus,3,1,29.0000,19
48,hotpotqa#14,hotpotqa,3,0,30.0000,19
49,ddxplus#23,ddxplus,3,0,31.0000,19
50,ddxplus#24,ddxplus,3,0,32.0000,19
51,ddxplus#25,ddxplus,3,0,33.0000,19
52,hotpotqa#15,hotpotqa,3,1,33.0000,20
53,ddxplus#26,ddxplus,3,0,34.0000,20
54,ds1000#972,ds1000,3,0,35.0000,20
55,ds1000#593,ds1000,3,0,36.0000,20
56,hotpotqa#16,hotpotqa,3,0,37.0000,20
57,ddxplus#27,ddxplus,3,0,38.0000,20
58,hotpotqa#17,hotpotqa,3,0,39.0000,20
59,ddxplus#28,ddxplus,3,1,39.0000,21
60,ddxplus#29,ddxplus,3,0,40.0000,21
61,hotpotqa#18,hotpotqa,3,1,40.0000,22
62,hotpotqa#19,hotpotqa,3,1,40.0000,23
63,ds1000#994,ds1000,3,1,40.0000,24
64,hotpotqa#20,hotpotqa,3,1,40.0000,25
65,ddxplus#30,ddxplus,3,0,41.0000,25
66,hotpotqa#21,hotpotqa,3,1,41.0000,26
67,ds1000#285,ds1000,3,0,42.0000,26
68,hotpotqa#22,hotpotqa,3,1,42.0000,27
69,ddxplus#31,ddxplus,3,1,42.0000,28
70,ddxplus#32,ddxplus,3,0,43.0000,28
71,ds1000#554,ds1000,3,0,44.0000,28
72,ds1000#467,ds1000,3,0,45.0000,28
